SrNo,TITLE,CATEGORY,CITY,STATE,DATE,AMOUNT,MONTH,YEAR,DATE
33,"Please support us with funds to fight this covid-19 pandemic , covid-19…",Others,Pune,Maharashtra,"April 24, 2020",2000,April,2020,April 24
34,Kidney donor needed urgently for money,Others,Yemmiganur,Andhra Pradesh,"April 24, 2020",140000,April,2020,April 24
35,If You Want To Sell Your Kidney Contact Dr Mark,Others,Anantapur,Andhra Pradesh,"April 23, 2020",11000,April,2020,April 23
36,Bribe asked for not generating a RC,Autorickshaws,Chandigarh,Chandigarh,"April 23, 2020",1000,April,2020,April 23
37,K1dney donor needed urgently contact,Others,Bangalore,Karnataka,"April 22, 2020",100000,April,2020,April 22
38,Electric Cigarette Machine | Electric Cigarette Maker,Others,New Delhi,Delhi,"April 22, 2020",1200,April,2020,April 22
39,RC Nitro Supercharger | RC Nitro Engines,Others,Adilabad,Telangana,"April 21, 2020",1200,April,2020,April 21
40,Contact Dr Mark If You Want To Sell Your Kidney,Others,Adilabad,Telangana,"April 21, 2020",11000,April,2020,April 21
41,Contact Dr Mark If You Want To Sell Your Kidney,Others,Mango,Jharkhand,"April 21, 2020",11000,April,2020,April 21
42,Follow Focus | Wireless Follow Focus,Others,New Delhi,Delhi,"April 21, 2020",1200,April,2020,April 21
43,Petty Bribing for absolutely legal acts,"Traffic Fines, Penalties, Rules",Chennai,Tamil Nadu,"April 20, 2020",200,April,2020,April 20
44,SELL YOUR KIDNEY FOR CASH,Others,Uttara Kannada,Karnataka,"April 19, 2020",1400000,April,2020,April 19
45,SELL YOUR KIDNEY,Customs Check and Clearance,Mumbai,Maharashtra,"April 14, 2020",20000,April,2020,April 14
46,"Donate your kidney for money urgently today, We are ready to pay…",Others,Nabadwip,West Bengal,"April 13, 2020",400000000,April,2020,April 13
47,"Donate your k1dney for money urgently today, We are ready to pay…",Others,Belgaum,Karnataka,"April 13, 2020",4000000000,April,2020,April 13
48,"Hello men and women, If you are in financial crisis. Here is an…",Others,Bangalore,Karnataka,"April 13, 2020",400000000,April,2020,April 13
49,Nalavariyam for fisherman society,Government Schemes,Chennai,Tamil Nadu,"April 12, 2020",100,April,2020,April 12
50,Police harrasment,"Traffic Fines, Penalties, Rules",Bangalore,Karnataka,"April 11, 2020",500,April,2020,April 11
51,For loan approal,Loans,Bangalore,Karnataka,"April  9, 2020",10000,April,2020,April  9
52,Test33132 w r rq3 r3r  r,Excess Baggage,Abohar,Punjab,"April  6, 2020",2132,April,2020,April  6
53,Fully corruption,Government Schemes,Satna,Madhya Pradesh,"April  6, 2020",100000,April,2020,April  6
54,Took bribe for registration of marriage,Marriage Certificate and Registration,Bangalore,Karnataka,"April  6, 2020",3500,April,2020,April  6
55,Late shop open,Police Harassment,Siwan,Bihar,"April  4, 2020",500,April,2020,April  4
56,"Tune-Up Kit for Revolution, Fresh Choice, Just Good Tobacco Electric Cigarette Machine",Others,Adari,Uttar Pradesh,"April  2, 2020",12000,April,2020,April  2
57,Silencer Flight Follow Focus and Zoom System for Aerial Rigs at 24shots.com,Others,Adoni,Andhra Pradesh,"April  2, 2020",1200,April,2020,April  2
58,"Hello men and women, If you are in financial crisis. Here is an…",Others,Belgaum,Karnataka,"March 30, 2020",400000000,March,2020,March 30
59,"Donate your kidney for money urgently today, We are ready to pay…",Others,Bangalore,Karnataka,"March 30, 2020",300000000,March,2020,March 30
60,Verification for govt job,Background Verification,Jammu,Jammu and Kashmir,"March 30, 2020",300,March,2020,March 30
61,Kaveri water pipe repair,Services,Bangalore,Karnataka,"March 29, 2020",3000,March,2020,March 29
62,"Donate your kidney for money urgently today, We are ready to pay…",Others,Bangalore,Karnataka,"March 26, 2020",3000000000,March,2020,March 26
63,Passport Verification,Verification and Certificates,Ernakulam,Kerala,"March 26, 2020",150,March,2020,March 26
64,Bribe for chai pani,FIR and Complaints,Mumbai,Maharashtra,"March 23, 2020",5000,March,2020,March 23
65,Bribe from bar owners,Autorickshaws,Tiruchirapalli,Kerala,"March 21, 2020",100000,March,2020,March 21
66,TRANSFER ONE STATE TO OTHER,Others,New Delhi,Delhi,"March 20, 2020",250000,March,2020,March 20
67,Building construction permission,Building and Housing,Rewa,Madhya Pradesh,"March 19, 2020",2500,March,2020,March 19
68,Natural Glass Tumblers from Oaxaca Large at Hardworkingproducts.com,Others,New Delhi,Delhi,"March 17, 2020",1200,March,2020,March 17
69,Fine for wearing music player while driving two wheeler,"Traffic Fines, Penalties, Rules",Chennai,Tamil Nadu,"March 16, 2020",300,March,2020,March 16
70,"Bribe for taking left without any sign of ""no free left""","Traffic Fines, Penalties, Rules",Bangalore,Karnataka,"March 16, 2020",300,March,2020,March 16
71,Ambarnath trafic police taken bribe,Autorickshaws,Thane,Maharashtra,"March 16, 2020",200,March,2020,March 16
72,No Chalan,"Traffic Fines, Penalties, Rules",Viluppuram,Tamil Nadu,"March 15, 2020",1000,March,2020,March 15
73,Bribe taken by officer in RTO Bhopal,Tax and Permits,Bhopal,Madhya Pradesh,"March 15, 2020",30000,March,2020,March 15
74,"Even after paying the legal fees for the license, Rs 500 was taken separately.",Driving Licenses and Tests,Dungarpur,Rajasthan,"March 14, 2020",500,March,2020,March 14
75,HARYANA STATE INDUSTRIAL AND INFRASTRUCTURE DEVELOPMENT COPRPORATION HSIIDC FARIDABAD,Land Related,Faridabad,Haryana,"March 13, 2020",110000,March,2020,March 13
76,NO REGISTRY DONE IF YOU DO OT PAY 0.5% OF LAND COST TO HSIIDC OFFICE,Others,Faridabad,Haryana,"March 13, 2020",110000,March,2020,March 13
77,Khata Bifurcation Charges,Encumbrance Certificate,Bangalore,Karnataka,"March 12, 2020",2000000,March,2020,March 12
78,I had to pay a bribe,Verification and Certificates,Bangalore,Karnataka,"March 12, 2020",500,March,2020,March 12
79,House Blend Coffee Medium Roast at Hardworkingproducts.com,Others,Adari,Uttar Pradesh,"March  9, 2020",1200,March,2020,March  9
80,Driving other state vehicle without paying road tax,"Traffic Fines, Penalties, Rules",Bangalore,Karnataka,"March  7, 2020",500,March,2020,March  7
81,Took money without giving report,"Traffic Fines, Penalties, Rules",Bangalore,Karnataka,"March  7, 2020",500,March,2020,March  7
82,Buy Supercharger Overdrive Pulleys at RBinnovations.com,Others,Adityapur,Jharkhand,"March  5, 2020",12000,March,2020,March  5
83,Mini RootGuard Heavy Duty Gopher Wire Baskets For Sale,Others,New Delhi,Delhi,"March  5, 2020",1200,March,2020,March  5
84,Bribe for legal heir certificate,Aadhaar Card Process,Ahmedabad,Gujarat,"March  3, 2020",7000,March,2020,March  3
85,Corruption,Change of Tariff in Domestic to Commercial,Arcot,Tamil Nadu,"March  3, 2020",5000,March,2020,March  3
86,Owner Tenant Issuse,FIR and Complaints,Bangalore,Karnataka,"March  2, 2020",5000,March,2020,March  2
87,"I am running restaurant with all legal certificates, police constable demanding bribe 2000rs month",Registrations and Licenses,Arwal,Bihar,"March  1, 2020",2000,March,2020,March  1
88,"Corruption by PSPCL employees in Sardar Nagar, Ludhiana",Change of Tariff in Domestic to Commercial,Ludhiana,Punjab,"March  1, 2020",1000,March,2020,March  1
89,Inno-Flex Spare Drive Belts at RBinnovations.com,Others,Adilabad,Telangana,"February 27, 2020",1200,February,2020,February 27
90,Outdoor Motion Activated Solar 16-LED Security/Nightlight â Hardworkingproducts.com,Others,Adari,Uttar Pradesh,"February 27, 2020",250,February,2020,February 27
91,Reg Husband mohamed asik given amount to social welfare officer Mrs jayalakshmi,,Madurai,Tamil Nadu,"February 25, 2020",5000,February,2020,February 25
92,Illegal source of income,Others,Patna,Bihar,"February 24, 2020",1300000,February,2020,February 24
93,Saw traffic police asking 5000 rs to avoid fine,"Traffic Fines, Penalties, Rules",Bangalore,Karnataka,"February 24, 2020",5000,February,2020,February 24
94,Fruits delivery,College Leaving Certificate,Sikar,Rajasthan,"February 23, 2020",12000,February,2020,February 23
95,Bribed for visiting kodaikanal,Driving and Transport Business,Coimbatore,Tamil Nadu,"February 23, 2020",1000,February,2020,February 23
96,Just for survey,Land Registration,Nellore,Andhra Pradesh,"February 22, 2020",10000,February,2020,February 22
97,I paid a bribe of 250000 in rera jharkhand whereas the payment was of 10000,Building Construction Approval,Ranchi,Jharkhand,"February 20, 2020",250000,February,2020,February 20
98,Boarded women's coach in train 64164,Traveling without Ticket,Shikohabad,Uttar Pradesh,"February 20, 2020",1000,February,2020,February 20
99,Baroda uttar pradesh gramin bank branch Halore raebareli,Loans,Rae Bareli,Uttar Pradesh,"February 20, 2020",1000,February,2020,February 20
100,Bribe for Disabled person to prove,Disability Certificate,Koppal,Karnataka,"February 19, 2020",10,February,2020,February 19
101,"Best, Cheap & Top Hotels in Dharamshala, Chamunda Devi, HP",Others,New Delhi,Delhi,"February 19, 2020",1200,February,2020,February 19
102,He take 200 bribe,"Traffic Fines, Penalties, Rules",Bangalore,Karnataka,"February 18, 2020",200,February,2020,February 18
103,Handcrafted/Handmade Stemless Wine & Drinking Glasses,Pension Processing,Adari,Uttar Pradesh,"February 18, 2020",1200,February,2020,February 18
104,Passport police verification/Bribe in Coimbatore Sulur police station,Verification and Certificates,Coimbatore,Tamil Nadu,"February 15, 2020",500,February,2020,February 15
105,Bribe against passport police verification.,Police Clearance Certificate,Siliguri,West Bengal,"February 15, 2020",1000,February,2020,February 15
106,Bribe for passport verification /Coimbatore SULUR POLICE STATION,Verification and Certificates,Coimbatore,Tamil Nadu,"February 15, 2020",500,February,2020,February 15
107,Traffic cops hefty bribes,"Traffic Fines, Penalties, Rules",Bangalore,Karnataka,"February 15, 2020",300,February,2020,February 15
108,BRIBE FOR BOOK A TATKAL TICKET,Entry Tax,Palia Kalan,Uttar Pradesh,"February 14, 2020",5,February,2020,February 14
109,Municipality offier,Aadhaar Card Process,Salem,Tamil Nadu,"February 14, 2020",100,February,2020,February 14
110,Powermatic 2+ Plus Electric Cigarette Rolling Machine,Others,New Delhi,Delhi,"February 13, 2020",1200,February,2020,February 13
111,Bribe for new car registration,Number Plates and Vehicle Registration,Patna,Bihar,"February 11, 2020",9000,February,2020,February 11
112,Traffic rush by police itshelf and they blamed me for red light jump.,"Traffic Fines, Penalties, Rules",Panchkula,Haryana,"February 10, 2020",500,February,2020,February 10
113,It was just done false with us,Policies and Procedures,Buxar,Bihar,"February  9, 2020",10000,February,2020,February  9
114,I paid bribe for Labor Inspector  Circle 44,Registrations and Licenses,Bangalore,Karnataka,"February  8, 2020",20000,February,2020,February  8
115,Caring alcohol from goa,False Allegations,Karwar,Karnataka,"February  7, 2020",1000,February,2020,February  7
116,Maharastra Traffic Police took bribe at Baner-Pashan link road near veritas,"Traffic Fines, Penalties, Rules",Pune,Maharashtra,"February  7, 2020",2000,February,2020,February  7
117,Payed bride to collect my certificate,Certificates,Bangalore,Karnataka,"February  5, 2020",1000,February,2020,February  5
118,HSTP Golden Rainbow 10.3U Residential Electric/Electronic Cigarette Maker,Others,Ambala,Haryana,"February  5, 2020",1200,February,2020,February  5
119,For Staying on the road side with motorcycle,,Bangalore,Karnataka,"February  5, 2020",200,February,2020,February  5
120,Complaint on demanding bribe!,Property Registration,Bangalore,Karnataka,"February  4, 2020",5000,February,2020,February  4
121,Malleshwaram traffic police held my vehicle for ransom even for parking in parking zone,"Traffic Fines, Penalties, Rules",Bangalore,Karnataka,"February  1, 2020",650,February,2020,February  1
122,BBMP morons wouldn't move my file,Tax,Bangalore,Karnataka,"January 31, 2020",6000,January,2020,January 31
123,Roll Your Own Cigarette Shops Take Fire,Others,Adari,Uttar Pradesh,"January 31, 2020",1200,January,2020,January 31
124,My Ward Admission in Sainik school,School or College Related,Hyderabad,Telangana,"January 31, 2020",60000,January,2020,January 31
125,I hv been payingXtra 30 Rs more prescribed in cash memo per month,Fire License,Hyderabad,Telangana,"January 30, 2020",30,January,2020,January 30
126,Top-O-Matic Poweroll 2 Electric/Electronic Cigarette Rolling Machine,Others,Adari,Uttar Pradesh,"January 30, 2020",12000,January,2020,January 30
127,INR 100 TAKEN FOR ATTESTED OF A SINGLE STUDENT PASSPORT SIZE PHOTO,Notary,Pune,Maharashtra,"January 30, 2020",100,January,2020,January 30
128,Police ask for bribe,Policies and Procedures,Patna,Bihar,"January 28, 2020",1000,January,2020,January 28
129,Brive for admission in sainik school ghorakhal,College Leaving Certificate,Nainital,Uttarakhand,"January 28, 2020",50000,January,2020,January 28
130,Village accountant bribed for land MR document,Certificates,Hassan,Karnataka,"January 27, 2020",30000,January,2020,January 27
131,Police verification,Issue and Renewal of Passport,Mandamarri,Telangana,"January 25, 2020",500,January,2020,January 25
132,A doctor took a bribe from my maid,Hospitals and Medical Care,Bangalore,Karnataka,"January 25, 2020",300,January,2020,January 25
133,A H Dilip Kumar,Customs Check and Clearance,Bangalore,Karnataka,"January 25, 2020",10000,January,2020,January 25
134,Taking bribes n illegal capture of lands grown wealth in crores,Services,Shahdol,Madhya Pradesh,"January 24, 2020",100000,January,2020,January 24
135,Iam builders,Building Construction Approval,New Delhi,Delhi,"January 23, 2020",500000,January,2020,January 23
136,Police verification for Passport,Verification and Certificates,Osmanabad,Maharashtra,"January 22, 2020",1500,January,2020,January 22
137,Classic Hoverboard Swegway For Sale in UK,Others,Adari,Uttar Pradesh,"January 22, 2020",1200,January,2020,January 22
138,Fifteen Gallon RootGuard Heavy Duty Gopher Wire Baskets - Assorted Sizes,Others,Adoni,Andhra Pradesh,"January 21, 2020",2111,January,2020,January 21
139,Fifteen Gallon RootGuard Heavy Duty Gopher Wire Baskets - Assorted Sizes,Others,Adoni,Andhra Pradesh,"January 21, 2020",12222,January,2020,January 21
140,Paid 500 rupees as bribe in name of Flag day fund at Avadi Municipality,Certificates,Chennai,Tamil Nadu,"January 21, 2020",500,January,2020,January 21
141,Forced bribe,Tax and Permits,Bharatpur,Rajasthan,"January 19, 2020",30,January,2020,January 19
142,Bribery asked for even doing their job,Savings Scheme,Varanasi,Uttar Pradesh,"January 18, 2020",100,January,2020,January 18
143,Heavy Duty Front Wheel For Standard Hoverkart/Hovercart UK,Others,Adilabad,Telangana,"January 16, 2020",1200,January,2020,January 16
144,Tashildar and Billing Department Bhadravathi,Others,Shimoga,Karnataka,"January 16, 2020",200,January,2020,January 16
145,Moti Ram clerk in Municipal Corporation Faridabad,Services,Faridabad,Haryana,"January 15, 2020",4000,January,2020,January 15
146,Aluminum Cigarette Pocket Case | Aluminum Alloy Tri-Fold Cigarette Case,Others,Adilabad,Telangana,"January 15, 2020",1200,January,2020,January 15
147,Police Taking Bribe even after providing all the required documents,FIR and Complaints,Bangalore,Karnataka,"January 14, 2020",1000,January,2020,January 14
148,Paid Bribe to settle matter with offender,FIR and Complaints,Bangalore,Karnataka,"January 10, 2020",1100,January,2020,January 10
149,Paid 500 Rs bribe at Nizamuddin Station Saraikalekhan side Exit,,New Delhi,Delhi,"January 10, 2020",500,January,2020,January 10
150,Bribe demanded during passport verification process,Policies and Procedures,Kanpur,Uttar Pradesh,"January  8, 2020",900,January,2020,January  8
151,Regarding the bribe at MUDA office mysuru,Building and Housing,Mysore,Karnataka,"January  8, 2020",9000,January,2020,January  8
152,Wrong parking,"Traffic Fines, Penalties, Rules",Bangalore,Karnataka,"January  7, 2020",1000,January,2020,January  7
153,XTM Racing | XTM Racing Rail & Engines at RBinnovations.com,Others,Achhnera,Uttar Pradesh,"January  7, 2020",1200,January,2020,January  7
154,Powermatic 2 Plus or Powermatic 2+ Electric Cigarette Machine,Others,Adilabad,Telangana,"January  7, 2020",1200,January,2020,January  7
155,Corrupt india,Customs,Ahmedabad,Gujarat,"January  7, 2020",42000,January,2020,January  7
156,Harassed and asked bribe to get permission for beers at check post,Excise,Pondicherry,Pondicherry,"January  6, 2020",500,January,2020,January  6
157,Issue with Rohith Gas Agency @ Konankunte,LPG Gas Cylinder,Bangalore,Karnataka,"January  6, 2020",50,January,2020,January  6
158,Passport Verification Chai Pani,Verification and Certificates,Agra,Uttar Pradesh,"January  6, 2020",500,January,2020,January  6
159,Paid bribe for tint sheet on windows,"Traffic Fines, Penalties, Rules",Bangalore,Karnataka,"January  6, 2020",300,January,2020,January  6
160,Paid bribe at help counter,Driving Licenses and Tests,Hyderabad,Telangana,"January  3, 2020",500,January,2020,January  3
161,Revolution Electric Cigarette Machine at Hardworkingproducts.com,Others,Gandhidham,Gujarat,"January  3, 2020",1200,January,2020,January  3
162,Corruption DC Office Bangalore,Court Related,Bangalore,Karnataka,"January  3, 2020",1500000,January,2020,January  3
163,Pension regarding,Pension Processing,Ballia,Uttar Pradesh,"January  2, 2020",4000,January,2020,January  2
164,For cooruption,Police Investigation,Kushinagar,Uttar Pradesh,"December 31, 2019",50000,December,2019,December 31
165,Harassed and asked bribe to allow beer cans at checkpost,"Traffic Fines, Penalties, Rules",Pondicherry,Pondicherry,"December 31, 2019",500,December,2019,December 31
166,Complaint regarding asking bribe by aadhar department employee,Aadhaar Card,New Delhi,Delhi,"December 31, 2019",500,December,2019,December 31
167,FSO demanded for bribe through his helper,,Silvassa,Dadra and Nagar Haveli,"December 31, 2019",15000,December,2019,December 31
168,Asked bribe for property name change,Building and Housing,Hyderabad,Telangana,"December 30, 2019",5000,December,2019,December 30
169,Uber driver stopped my cab on the road,"Traffic Fines, Penalties, Rules",New Delhi,Delhi,"December 28, 2019",200,December,2019,December 28
170,Bribe for Form no 3,Khata,Sagar,Madhya Pradesh,"December 27, 2019",600,December,2019,December 27
171,I was stopped only to collect Bribe,"Traffic Fines, Penalties, Rules",Dharwad,Karnataka,"December 27, 2019",500,December,2019,December 27
172,SILIÂ® OFFROAD - Suspension Hoverkart Go-kart Attachment Buggy UK,Others,Lakhisarai,Bihar,"December 27, 2019",74,December,2019,December 27
173,Bribe was paid for Police Verification,Police Clearance Certificate,Mumbai,Maharashtra,"December 27, 2019",200,December,2019,December 27
174,I paid to get new ration card for my uncle,Certificates,Thane,Maharashtra,"December 26, 2019",500,December,2019,December 26
175,Case workers torture people for bribe,Land Registration,Tumkur,Karnataka,"December 22, 2019",1000,December,2019,December 22
176,Bribe for taking back the complaint,FIR and Complaints,Bangalore,Karnataka,"December 22, 2019",350000,December,2019,December 22
177,E khata bribe,Khata,Sirsi,Uttar Pradesh,"December 18, 2019",1000000,December,2019,December 18
178,Demand of bribe during passport renewal by Bindhannagar ploice,Issue and Renewal of Passport,Bidhan Nagar,West Bengal,"December 17, 2019",700,December,2019,December 17
179,Steno hold files for bribe,Public Works,Bhilai,Chhattisgarh,"December 16, 2019",1000,December,2019,December 16
180,I have to pay bribe for 7/12,Land Registration,Pune,Maharashtra,"December 16, 2019",12000,December,2019,December 16
181,FOR INCOME TAX ASSESSMENT,Income Tax,Ludhiana,Punjab,"December 16, 2019",60000,December,2019,December 16
182,Corruption,Domestic,Dungarpur,Rajasthan,"December 16, 2019",1500,December,2019,December 16
183,BBMP corruption,Building and Housing,Bangalore,Karnataka,"December 14, 2019",1000000,December,2019,December 14
184,Sub registrar Bommanahalli Bangalore,Registrations and Licenses,Bangalore,Karnataka,"December 14, 2019",1000000,December,2019,December 14
185,Fir related,Filing FIR,Coimbatore,Tamil Nadu,"December 13, 2019",400,December,2019,December 13
186,Paid Rs 2000 as bribe to traffic police at Kalka Temple New delhi,"Traffic Fines, Penalties, Rules",New Delhi,Delhi,"December 12, 2019",2000,December,2019,December 12
187,THE AGENT TOOK 300 RS ONLY FOR GIVING DIRECTION HERE AND,Services,Nagpur,Maharashtra,"December 11, 2019",300,December,2019,December 11
188,The Accountant asked for bribe for getting passbook updated,Money Order and Passbook,Lohardaga,Jharkhand,"December 11, 2019",1000,December,2019,December 11
189,Bribe for online motation,,Gaya,Bihar,"December 10, 2019",30000,December,2019,December 10
190,Kalluripalli Housing Board Officer Asks For A Bribe,Aadhaar Card Process,Nellore,Andhra Pradesh,"December 10, 2019",10000,December,2019,December 10
191,Teacher gets bribe from students,School or College Related,Cuddalore,Tamil Nadu,"December  9, 2019",500,December,2019,December  9
192,For sale deed transfer,Registrations and Licenses,Bangalore,Karnataka,"December  9, 2019",800,December,2019,December  9
193,Excessive charges as penalty from the Police Person and time waste,"Traffic Fines, Penalties, Rules",Bangalore,Karnataka,"December  9, 2019",500,December,2019,December  9
194,Bribe paid to get a bike that was being toed,"Traffic Fines, Penalties, Rules",Bangalore,Karnataka,"December  8, 2019",1200,December,2019,December  8
195,Head Constable Delhi Police,"Traffic Fines, Penalties, Rules",New Delhi,Delhi,"December  8, 2019",3000,December,2019,December  8
196,Bribe for new water and sewage connection,Water Connection,Chennai,Tamil Nadu,"December  5, 2019",30000,December,2019,December  5
197,Not issuing professional tax registration certificate,Professional Tax,Begusarai,Bihar,"December  4, 2019",500,December,2019,December  4
198,Police Verification for Passport issue,Verification and Certificates,Gurgaon,Haryana,"December  4, 2019",1000,December,2019,December  4
199,We are doing paid water supply to the vulnerable villages to the coalition of AP.Govt,Bills and Payment,Chittoor,Andhra Pradesh,"December  3, 2019",5000,December,2019,December  3
200,"Corrupt Branch manager, Indian Bank",Loans,Bangalore,Karnataka,"December  2, 2019",100000,December,2019,December  2
201,Corruption at sub register office bommanahalli,Land Registration,Bangalore,Karnataka,"December  2, 2019",25000,December,2019,December  2
202,Bribe asked for certificates,College Leaving Certificate,Muzaffarpur,Bihar,"December  1, 2019",100,December,2019,December  1
203,Registration of flat,,Bangalore,Karnataka,"December  1, 2019",11000,December,2019,December  1
204,Useless RTO people name PRASAD who is a helper there not even an officer,Others,Chittoor,Andhra Pradesh,"November 30, 2019",10000,November,2019,November 30
205,Principal  asking Rs:- 50000 by cash to my child in L.G.K Standard,Employee Grievances,Chennai,Tamil Nadu,"November 30, 2019",50000,November,2019,November 30
206,Pressuring to give bribe.,"Traffic Fines, Penalties, Rules",Patiala,Punjab,"November 29, 2019",15000,November,2019,November 29
207,Address  reasons,Police Clearance Certificate,Pune,Maharashtra,"November 29, 2019",1000,November,2019,November 29
208,House no is not mentioned in address that reasons,,Pune,Maharashtra,"November 29, 2019",1000,November,2019,November 29
209,Driving license related,Services,Chikballapur,Karnataka,"November 29, 2019",1500,November,2019,November 29
210,Paid a bribe to get encumberance certificate,Certificates,Bangalore,Karnataka,"November 28, 2019",500,November,2019,November 28
211,Toll away of vehicles,"Traffic Fines, Penalties, Rules",Bangalore,Karnataka,"November 28, 2019",650,November,2019,November 28
212,Paid in  the name of lawyer fees,Property Registration,Bangalore,Karnataka,"November 28, 2019",34000,November,2019,November 28
213,"Prem Chand(Head Constible) Saket Police Station,New Delhi Taken A Bribe Of 17000/-","Traffic Fines, Penalties, Rules",New Delhi,Delhi,"November 28, 2019",17000,November,2019,November 28
214,Property Registration,Property Registration,Bangalore,Karnataka,"November 27, 2019",9500,November,2019,November 27
215,Indira Gandhi International Airport terminal 3,Excess Baggage,New Delhi,Delhi,"November 26, 2019",2500,November,2019,November 26
216,They asking me bribe for community certificate,Certificates,Thiruvarur,Tamil Nadu,"November 26, 2019",100,November,2019,November 26
217,Birhalganj police asking for bribe,FIR and Complaints,Gorakhpur,Uttar Pradesh,"November 26, 2019",10000,November,2019,November 26
218,Paid bribe for bike towed from parking place,"Traffic Fines, Penalties, Rules",Bangalore,Karnataka,"November 24, 2019",1000,November,2019,November 24
219,Over speeding,"Traffic Fines, Penalties, Rules",Bangalore,Karnataka,"November 24, 2019",350,November,2019,November 24
220,Corruption,Land Registration,Yellandu,Telangana,"November 23, 2019",8000,November,2019,November 23
221,"Gopalapuram Tamilnadu Police Check Post They asked us for 3,000 but we only had 1000",Verification and Certificates,Pollachi,Tamil Nadu,"November 23, 2019",1000,November,2019,November 23
